酒：5张 杀：30张 火杀：5张 雷杀：9张 
闪：24张 桃：12张
锦囊：49张 装备：26张
牌名 点数 花色 种类 距离 牌组
酒 9 方块 基本牌 自己 军争篇
酒 3 黑桃 基本牌 自己 军争篇
酒 9 黑桃 基本牌 自己 军争篇
酒 3 梅花 基本牌 自己 军争篇
酒 9 梅花 基本牌 自己 军争篇
杀 6 方块 基本牌 范围内 三国杀
杀 7 方块 基本牌 范围内 三国杀
杀 8 方块 基本牌 范围内 三国杀
杀 9 方块 基本牌 范围内 三国杀
杀 10 方块 基本牌 范围内 三国杀
杀 13 方块 基本牌 范围内 推广版
杀 7 黑桃 基本牌 范围内 三国杀
杀 8 黑桃 基本牌 范围内 三国杀
杀 8 黑桃 基本牌 范围内 三国杀
杀 9 黑桃 基本牌 范围内 三国杀
杀 9 黑桃 基本牌 范围内 三国杀
杀 10 黑桃 基本牌 范围内 三国杀
杀 10 黑桃 基本牌 范围内 三国杀
杀 10 红桃 基本牌 范围内 三国杀
杀 10 红桃 基本牌 范围内 三国杀
杀 11 红桃 基本牌 范围内 推广版
杀 2 梅花 基本牌 范围内 三国杀
杀 3 梅花 基本牌 范围内 三国杀
杀 4 梅花 基本牌 范围内 三国杀
杀 5 梅花 基本牌 范围内 三国杀
杀 6 梅花 基本牌 范围内 三国杀
杀 7 梅花 基本牌 范围内 三国杀
杀 8 梅花 基本牌 范围内 三国杀
杀 8 梅花 基本牌 范围内 三国杀
杀 9 梅花 基本牌 范围内 三国杀
杀 9 梅花 基本牌 范围内 三国杀
杀 10 梅花 基本牌 范围内 三国杀
杀 10 梅花 基本牌 范围内 三国杀
杀 11 梅花 基本牌 范围内 推广版
杀 11 梅花 基本牌 范围内 推广版
杀·火 4 方块 基本牌 范围内 军争篇
杀·火 5 方块 基本牌 范围内 军争篇
杀·火 4 红桃 基本牌 范围内 军争篇
杀·火 7 红桃 基本牌 范围内 军争篇
杀·火 10 红桃 基本牌 范围内 军争篇
杀·雷 4 黑桃 基本牌 范围内 军争篇
杀·雷 5 黑桃 基本牌 范围内 军争篇
杀·雷 6 黑桃 基本牌 范围内 军争篇
杀·雷 7 黑桃 基本牌 范围内 军争篇
杀·雷 8 黑桃 基本牌 范围内 军争篇
杀·雷 5 梅花 基本牌 范围内 军争篇
杀·雷 6 梅花 基本牌 范围内 军争篇
杀·雷 7 梅花 基本牌 范围内 军争篇
杀·雷 8 梅花 基本牌 范围内 军争篇
闪 6 方块 基本牌 自己 军争篇
闪 7 方块 基本牌 自己 军争篇
闪 8 方块 基本牌 自己 军争篇
闪 10 方块 基本牌 自己 军争篇
闪 11 方块 基本牌 自己 军争篇
闪 2 方块 基本牌 自己 三国杀
闪 2 方块 基本牌 自己 三国杀
闪 3 方块 基本牌 自己 三国杀
闪 4 方块 基本牌 自己 三国杀
闪 5 方块 基本牌 自己 三国杀
闪 6 方块 基本牌 自己 三国杀
闪 7 方块 基本牌 自己 三国杀
闪 8 方块 基本牌 自己 三国杀
闪 9 方块 基本牌 自己 三国杀
闪 10 方块 基本牌 自己 三国杀
闪 11 方块 基本牌 自己 推广版
闪 11 方块 基本牌 自己 推广版
闪 8 红桃 基本牌 自己 军争篇
闪 9 红桃 基本牌 自己 军争篇
闪 11 红桃 基本牌 自己 军争篇
闪 12 红桃 基本牌 自己 军争篇
闪 2 红桃 基本牌 自己 三国杀
闪 2 红桃 基本牌 自己 三国杀
闪 13 红桃 基本牌 自己 推广版
桃 2 方块 基本牌 自己 军争篇
桃 3 方块 基本牌 自己 军争篇
桃 12 方块 基本牌 自己 推广版
桃 5 红桃 基本牌 自己 军争篇
桃 6 红桃 基本牌 自己 军争篇
桃 3 红桃 基本牌 自己 三国杀
桃 4 红桃 基本牌 自己 三国杀
桃 6 红桃 基本牌 自己 三国杀
桃 7 红桃 基本牌 自己 三国杀
桃 8 红桃 基本牌 自己 三国杀
桃 9 红桃 基本牌 自己 三国杀
桃 12 红桃 基本牌 自己 推广版
兵粮寸断 10 黑桃 锦囊牌 1 军争篇
兵粮寸断 4 梅花 锦囊牌 1 军争篇
过河拆桥 3 黑桃 锦囊牌 任意人 三国杀
过河拆桥 4 黑桃 锦囊牌 任意人 三国杀
过河拆桥 12 黑桃 锦囊牌 任意人 推广版
过河拆桥 12 红桃 锦囊牌 任意人 推广版
过河拆桥 3 梅花 锦囊牌 任意人 三国杀
过河拆桥 4 梅花 锦囊牌 任意人 三国杀
火攻 12 方块 锦囊牌 任意人 军争篇
火攻 2 红桃 锦囊牌 任意人 军争篇
火攻 3 红桃 锦囊牌 任意人 军争篇
借刀杀人 12 梅花 锦囊牌 任意人 推广版
借刀杀人 13 梅花 锦囊牌 任意人 推广版
决斗 1 方块 锦囊牌 任意人 三国杀
决斗 1 黑桃 锦囊牌 任意人 三国杀
决斗 1 梅花 锦囊牌 任意人 三国杀
乐不思蜀 6 黑桃 锦囊牌 任意人 三国杀
乐不思蜀 6 红桃 锦囊牌 任意人 三国杀
乐不思蜀 6 梅花 锦囊牌 任意人 三国杀
南蛮入侵 7 黑桃 锦囊牌 所有人 三国杀
南蛮入侵 13 黑桃 锦囊牌 所有人 推广版
南蛮入侵 7 梅花 锦囊牌 所有人 三国杀
闪电 1 黑桃 锦囊牌 自己 三国杀
闪电 12 红桃 锦囊牌 自己 推广版EX
顺手牵羊 3 方块 锦囊牌 1 三国杀
顺手牵羊 4 方块 锦囊牌 1 三国杀
顺手牵羊 3 黑桃 锦囊牌 1 三国杀
顺手牵羊 4 黑桃 锦囊牌 1 三国杀
顺手牵羊 11 黑桃 锦囊牌 1 推广版
桃园结义 1 红桃 锦囊牌 所有人 三国杀
铁索连环 11 黑桃 锦囊牌 任意人 军争篇
铁索连环 12 黑桃 锦囊牌 任意人 军争篇
铁索连环 10 梅花 锦囊牌 任意人 军争篇
铁索连环 11 梅花 锦囊牌 任意人 军争篇
铁索连环 12 梅花 锦囊牌 任意人 军争篇
铁索连环 13 梅花 锦囊牌 任意人 军争篇
万箭齐发 1 红桃 锦囊牌 所有人 三国杀
无懈可击 13 黑桃 锦囊牌 任意人 军争篇
无懈可击 11 黑桃 锦囊牌 任意人 推广版
无懈可击 1 红桃 锦囊牌 任意人 军争篇
无懈可击 13 红桃 锦囊牌 任意人 军争篇
无懈可击 12 梅花 锦囊牌 任意人 推广版
无懈可击 13 梅花 锦囊牌 任意人 推广版
无中生有 7 红桃 锦囊牌 自己 三国杀
无中生有 8 红桃 锦囊牌 自己 三国杀
无中生有 9 红桃 锦囊牌 自己 三国杀
无中生有 11 红桃 锦囊牌 自己 推广版
五谷丰登 3 红桃 锦囊牌 所有人 三国杀
五谷丰登 4 红桃 锦囊牌 所有人 三国杀
防·八卦阵2 黑桃 装备牌 自己 三国杀
防·八卦阵2 梅花 装备牌 自己 三国杀
防·白银狮子1 梅花 装备牌 自己 军争篇
防·仁王盾2 梅花 装备牌 自己 推广版EX
防·藤甲 2 黑桃 装备牌 自己 军争篇
防·藤甲 2 梅花 装备牌 自己 军争篇
马·赤兔 5 红桃 装备牌 减1 三国杀
马·大宛 13 黑桃 装备牌 减1 推广版
马·的卢 5 梅花 装备牌 加1 三国杀
马·骅骝 13 方块 装备牌 加1 军争篇
马·绝影 5 黑桃 装备牌 加1 三国杀
马·爪黄飞电13 红桃 装备牌 加1 推广版
马·紫骍 13 方块 装备牌 减1 推广版
武·雌雄双股剑2 黑桃 装备牌 2 三国杀
武·方天画戟12 方块 装备牌 4 推广版
武·古锭刀1 黑桃 装备牌 2 军争篇
武·贯石斧5 方块 装备牌 3 三国杀
